name,files,mentions
meditation,3753,3753
devotion,3112,3112
self-inquiry,2246,2246
bhajan,1814,1814
bhakti,1471,1471
mind-control,1125,1125
divine-love,1106,1106
guru-bhakti,949,953
self-awareness,907,907
inner-peace,843,843
chanting,817,817
spiritual-practice,790,790
surrender,718,718
gratitude,709,715
self-realization,508,508
self-surrender,467,467
present-moment,444,444
guru-devotion,431,431
meditation-practice,427,427
mindfulness,394,394
spiritual-awakening,355,355
mind-watching,349,349
service,309,309
third-eye,300,303
inner-light,281,281
awareness,271,271
devotional-songs,247,247
grace,235,242
spiritual-longing,233,233
love,231,231
karma-yoga,218,218
om-chanting,205,205
detachment,200,200
duality,190,190
life-purpose,188,188
guru-purnima,180,180
spiritual-surrender,165,165
spiritual-life,164,164
ego-transcendence,163,163
enlightenment,151,151
love-of-god,141,141
spiritual-devotion,141,141
guru-grace,140,140
mind-observation,136,136
self-observation,131,131
divine-presence,130,130
devotional-singing,123,123
non-doing,123,123
transformation,123,123
spiritual-path,121,121
silence,113,113
spiritual-songs,108,108
satsang,105,106
guru-disciple,105,105
inner-witness,103,103
non-doer,100,100
invocation,98,98
maya,98,98
spiritual-transformation,96,96
self-remembrance,93,93
spiritual-growth,93,93
compassion,92,92
spiritual-discipline,91,91
spiritual-journey,91,91
suffering,85,85
mind-detachment,84,84
bhakti-yoga,83,83
children-camp,82,82
spiritual-intoxication,80,80
thoughtlessness,79,79
consciousness,78,78
divine-light,77,77
prayer,76,76
ego,75,75
spiritual-identity,75,75
mental-health,73,73
nature,73,73
inner-wealth,72,72
self-discovery,72,72
spiritual-joy,72,72
spiritual-sound,72,72
education,71,71
nam-smaran,71,71
schedule,70,70
inner-search,69,69
self-mastery,69,69
ego-dissolution,68,68
self-reflection,68,68
spiritual-realization,68,68
inner-awareness,67,67
self-knowledge,67,67
spiritual-discourse,67,67
community,65,65
ego-transformation,65,65
om-guruve-namah,63,63
concentration,61,61
awakening,60,60
spiritual-science,59,59
dharma,58,58
faith,58,58
nam-sankirtan,58,58
spiritual-light,58,58
mantra-japa,57,57
spiritual-wealth,56,56
stress-relief,55,55
self-love,53,53
guru-shishya,52,52
inner-journey,52,52
mantra-recitation,51,51
negative-thoughts,51,51
ignorance,50,50
separation,50,50
prem,49,49
bhagavad-gita,48,48
nature-worship,48,48
selfless-service,48,48
ego-death,47,47
mind-management,47,47
inner-awakening,46,46
morning-meditation,46,46
spiritual-energy,46,46
community-service,45,45
mind-mastery,45,45
mind-witnessing,45,45
bhajan-singing,41,41
daily-routine,41,41
divine-grace,41,41
non-duality,41,41
spiritual-liberation,41,41
worldly-illusion,41,41
seva,40,40
spiritual-search,40,40
spiritual-strength,40,40
discipline,39,39
self-improvement,39,39
spiritual-mastery,39,39
sufi-poetry,39,39
welcome,39,39
inner-wisdom,38,38
inner-divinity,37,37
death-awareness,36,36
health,36,36
spiritual-experience,36,36
holi,35,35
india,35,35
inner-science,35,35
self-transformation,34,34
spiritual-enlightenment,34,34
worldly-attachment,34,34
blessings,33,33
commercialization,33,33
divine-praise,33,33
freedom,33,33
inner-realization,33,33
meditation-technique,33,33
neutral-energy,33,33
monsoon,32,32
presence,32,32
spiritual-union,32,32
true-nature,31,31
retreat,30,30
birthday-celebration,29,29
death-transcendence,29,29
mind-witness,29,29
spiritual-power,29,29
vibrations,29,29
yoga,29,29
mahashivratri,28,28
monsoon-season,28,28
self-purification,28,28
spiritual-wisdom,28,28
witness-consciousness,28,28
celebration,27,27
community-gathering,27,27
immortality,27,27
life-journey,27,27
unity,27,27
vibration,27,27
divine-mercy,26,26
duty,26,26
inner-mastery,26,26
new-year-celebration,26,26
spiritual-freedom,26,26
divine-union,25,25
happiness,25,25
inner-strength,25,25
inner-observation,24,24
karma,24,24
morning-prayer,24,24
parenting,24,24
sacrifice,24,24
thought-observation,24,24
thoughts,24,24
discipleship,23,23
inner-purity,23,23
ishq,23,23
morning-practice,23,23
separation-pain,23,23
simplicity,23,23
spiritual-thirst,23,23
dedication,22,22
divine-nature,22,22
evening-prayer,22,22
fearlessness,22,22
spiritual-vibration,22,22
energy-flow,21,21
guru-seva,21,21
humanity,21,21
inner-focus,21,21
inner-freedom,21,21
new-year,21,21
social-service,21,21
spirituality,21,21
inner-seeing,20,20
mental-peace,20,20
ahankar,19,19
daily-practice,19,19
inner-nature,19,19
meditation-camp,19,19
mental-clarity,19,19
spiritual-courage,19,19
chakras,18,18
darkness-light,18,18
meditation-benefits,18,18
self-control,18,18
sincerity,18,18
announcements,17,17
daily-schedule,17,17
holi-celebration,17,17
inner-joy,17,17
inner-temple,17,17
mind-liberation,17,17
non-doer-state,17,17
om-onkar,17,17
pranama,17,17
renunciation,17,17
sadhana,17,17
shiva-netra,17,17
spiritual-invocation,17,17
stress-management,17,17
anger-management,16,16
energy,16,16
inner-connection,16,16
inner-transformation,16,16
longing,16,16
materialism,16,16
mirabai,16,16
om,16,16
reincarnation,16,16
self-reliance,16,16
self-sacrifice,16,16
spiritual-celebration,16,16
spiritual-service,16,16
worldly-life,16,16
divine-protection,15,15
diwali,15,15
forgiveness,15,15
guru-puja,15,15
inner-darkness,15,15
joy,15,15
nama-smaran,15,15
prema,15,15
rebirth,15,15
self-discipline,15,15
spiritual-healing,15,15
trust-in-god,15,15
bhakti-rasa,14,14
deepawali,14,14
inner-longing,14,14
moksha,14,14
mortality,14,14
poverty,14,14
prahlad,14,14
spiritual-awareness,14,14
spiritual-guidance,14,14
spiritual-knowledge,14,14
abhimana,13,13
announcement,13,13
death,13,13
depression,13,13
divine-connection,13,13
divine-qualities,13,13
energy-management,13,13
human-nature,13,13
